date,selic_meta,selic_diaria,cambio_venda,cambio_compra
1990-01-02,,2.679178,11.582,11.524
1990-01-03,,2.677644,11.81,11.751
1990-01-04,,2.27263,12.042,11.983
1990-01-05,,2.275452,12.27,12.209
1990-01-08,,2.276932,12.503,12.44
1990-01-09,,2.275644,12.74,12.677
1990-01-10,,2.270137,12.982,12.917
1990-01-11,,2.276959,13.228,13.162
1990-01-12,,2.29726,13.479,13.412
1990-01-15,,2.330329,13.735,13.666
1990-01-16,,2.136493,13.995,13.926
1990-01-17,,2.136137,14.26,14.189
1990-01-18,,2.141589,14.53,14.458
1990-01-19,,2.163014,14.806,14.732
1990-01-22,,2.274,15.13,15.055
1990-01-23,,2.328333,15.461,15.384
1990-01-24,,2.396667,15.799,15.721
1990-01-25,,2.468333,16.145,16.064
1990-01-26,,2.535667,16.512,16.429
1990-01-29,,2.602333,16.887,16.803
1990-01-30,,2.671667,17.27,17.184
1990-01-31,,2.767667,17.731,17.643
1990-02-01,,2.921333,18.175,18.085
1990-02-02,,3.018,18.63,18.538
1990-02-05,,3.132,19.097,19.002
1990-02-06,,3.269,19.664,19.566
1990-02-07,,3.334333,20.247,20.147
1990-02-08,,3.352667,20.848,20.744
1990-02-09,,3.374333,21.467,21.36
1990-02-12,,3.390667,22.104,21.994
1990-02-13,,3.490667,22.827,22.713
1990-02-14,,3.519667,23.574,23.456
1990-02-15,,3.558667,24.345,24.224
1990-02-16,,3.588,25.141,25.016
1990-02-19,,3.626,25.989,25.859
1990-02-20,,3.624667,26.877,26.744
1990-02-21,,3.603,27.796,27.658
1990-02-22,,3.521667,28.746,28.603
1990-02-23,,3.297333,29.729,29.581
1990-02-28,,3.297333,30.636,30.483
1990-03-01,,2.902333,31.407,31.251
1990-03-02,,2.901333,32.197,32.037
1990-03-05,,2.904667,33.007,32.843
1990-03-06,,2.895667,33.838,33.669
1990-03-07,,2.876,34.69,34.517
1990-03-08,,2.849667,35.563,35.386
1990-03-09,,2.818,36.481,36.299
1990-03-12,,2.782667,37.422,37.236
1990-03-13,,2.753333,38.388,38.197
1990-03-14,,0.0,,
1990-03-15,,0.0,,
1990-03-16,,0.0,,
1990-03-19,,0.600333,42.506,42.294
1990-03-20,,0.6,38.963,38.963
1990-03-21,,0.6,38.989,37.882
1990-03-22,,0.599667,39.825,36.136
1990-03-23,,0.599667,38.435,35.911
1990-03-26,,0.599667,38.58,37.075
1990-03-27,,0.599333,40.345,39.639
1990-03-28,,0.599333,40.814,40.014
1990-03-29,,0.599,42.313,41.827
1990-03-30,,0.599667,42.56,41.933
1990-04-02,,0.307,42.626,42.29
1990-04-03,,0.307333,42.676,42.147
1990-04-04,,0.307,42.724,42.245
1990-04-05,,0.307,42.725,42.172
1990-04-06,,0.306667,42.694,42.204
1990-04-09,,0.307,42.742,42.251
1990-04-10,,0.306667,43.46,43.236
1990-04-11,,0.306667,46.853,46.2
1990-04-16,,0.153667,49.39,49.061
1990-04-17,,0.153333,52.306,50.611
1990-04-18,,0.152,51.467,50.471
1990-04-19,,0.149,51.485,50.766
1990-04-20,,0.146667,51.405,50.578
1990-04-23,,0.145333,51.268,50.663
1990-04-24,,0.146,51.154,50.732
1990-04-25,,0.146667,51.207,50.677
1990-04-26,,0.147667,51.292,50.776
1990-04-27,,0.153,51.185,50.804
1990-04-30,,0.198333,51.243,50.845
1990-05-02,,0.232333,51.189,50.759
1990-05-03,,0.232333,51.33,50.775
1990-05-04,,0.232,51.143,50.701
1990-05-07,,0.232667,51.173,50.739
1990-05-08,,0.233,51.132,50.801
1990-05-09,,0.232667,51.133,50.74
1990-05-10,,0.233,51.23,50.824
