date,igpm,divida_liquida_pib,balanca_comercial,ibc_br
1990-01-01,61.46,,,
1990-02-01,81.29,,,
1990-03-01,83.95,,,
1990-04-01,28.35,,,
1990-05-01,5.93,,,
1990-06-01,9.94,,,
1990-07-01,12.01,,,
1990-08-01,13.62,,,
1990-09-01,12.8,,,
1990-10-01,12.97,,,
1990-11-01,16.86,,,
1990-12-01,18.0,,,
1991-01-01,17.7,,,
1991-02-01,21.02,,,
1991-03-01,9.19,,,
1991-04-01,7.81,,,
1991-05-01,7.48,,,
1991-06-01,8.48,,,
1991-07-01,13.22,,,
1991-08-01,15.25,,,
1991-09-01,14.93,,,
1991-10-01,22.63,,,
1991-11-01,25.62,,,
1991-12-01,23.63,,,
1992-01-01,23.56,,,
1992-02-01,27.86,,,
1992-03-01,21.39,,,
1992-04-01,19.94,,,
1992-05-01,20.43,,,
1992-06-01,23.61,,,
1992-07-01,21.84,,,
1992-08-01,24.63,,,
1992-09-01,25.27,,,
1992-10-01,26.76,,,
1992-11-01,23.43,,,
1992-12-01,25.08,,,
1993-01-01,25.83,,,
1993-02-01,28.41,,,
1993-03-01,26.25,,,
1993-04-01,28.83,,,
1993-05-01,29.7,,,
1993-06-01,31.5,,,
1993-07-01,31.25,,,
1993-08-01,31.79,,,
1993-09-01,35.28,,,
1993-10-01,35.04,,,
1993-11-01,36.15,,,
1993-12-01,38.32,,,
1994-01-01,39.07,,,
1994-02-01,40.78,,,
1994-03-01,45.71,,,
1994-04-01,40.91,,,
1994-05-01,42.58,,,
1994-06-01,45.21,,,
1994-07-01,4.33,,,
1994-08-01,3.94,,,
1994-09-01,1.75,,,
1994-10-01,1.82,,,
1994-11-01,2.85,,,
1994-12-01,0.84,,,
1995-01-01,0.92,,-398.7,
1995-02-01,1.39,,-1151.6,
1995-03-01,1.12,,-1019.5,
1995-04-01,2.1,,-565.7,
1995-05-01,0.58,,-781.7,
1995-06-01,2.46,,-871.5,
1995-07-01,1.82,,-110.1,
1995-08-01,2.2,,3.1,
1995-09-01,-0.71,,389.5,
1995-10-01,0.52,,241.5,
1995-11-01,1.2,,-160.9,
1995-12-01,0.71,,-145.3,
1996-01-01,1.73,,-50.3,
1996-02-01,0.97,,-108.9,
1996-03-01,0.4,,-540.2,
1996-04-01,0.32,,119.7,
1996-05-01,1.55,,153.6,
1996-06-01,1.02,,-422.4,
1996-07-01,1.35,,-443.4,
1996-08-01,0.28,,-366.1,
1996-09-01,0.1,,-712.1,
1996-10-01,0.19,,-1403.2,
1996-11-01,0.2,,-931.2,
1996-12-01,0.73,,-1932.0,
1997-01-01,1.77,,1080.2,
1997-02-01,0.43,,-1179.8,
1997-03-01,1.15,,-966.6,
1997-04-01,0.68,,-979.0,
1997-05-01,0.21,,-164.5,
1997-06-01,0.74,,-458.7,
1997-07-01,0.09,,-636.3,
1997-08-01,0.09,,-380.4,
1997-09-01,0.48,,-920.8,
1997-10-01,0.37,,-925.6,
1997-11-01,0.64,,-1365.0,
1997-12-01,0.84,,-854.3,
1998-01-01,0.96,,-808.5,
1998-02-01,0.18,,-312.6,
1998-03-01,0.19,,-980.5,
1998-04-01,0.13,,-140.2,
1998-05-01,0.14,,-214.0,
1998-06-01,0.38,,108.5,
1998-07-01,-0.17,,-514.8,
1998-08-01,-0.16,,-260.1,
1998-09-01,-0.08,,-1306.0,
1998-10-01,0.08,,-1533.1,
1998-11-01,-0.32,,-1110.5,
1998-12-01,0.45,,-555.9,
1999-01-01,0.84,,-792.7,
1999-02-01,3.61,,38.8,
1999-03-01,2.83,,-325.2,
1999-04-01,0.71,,-66.2,
1999-05-01,-0.29,,214.4,
1999-06-01,0.36,,-235.0,
1999-07-01,1.55,,8.5,
1999-08-01,1.56,,-274.3,
1999-09-01,1.45,,-25.8,
1999-10-01,1.7,,-201.4,
1999-11-01,2.39,,-564.7,
1999-12-01,1.81,,161.4,
2000-01-01,1.24,,-174.0,
2000-02-01,0.35,,48.7,
2000-03-01,0.15,,-78.0,
2000-04-01,0.23,,94.3,
2000-05-01,0.31,,307.9,
2000-06-01,0.85,,163.3,
2000-07-01,1.57,,111.9,
2000-08-01,2.39,,32.2,
2000-09-01,1.16,,-453.3,
2000-10-01,0.38,,-695.8,
2000-11-01,0.29,,-863.4,
2000-12-01,0.63,,-282.5,
2001-01-01,0.62,,-557.0,
2001-02-01,0.23,,-23.9,
2001-03-01,0.56,,-366.6,
2001-04-01,1.0,,28.7,
2001-05-01,0.86,,106.5,
2001-06-01,0.98,,191.4,
2001-07-01,1.48,,20.0,
2001-08-01,1.38,,548.3,
2001-09-01,0.31,,511.9,
2001-10-01,1.18,,119.8,
2001-11-01,1.1,,201.0,
2001-12-01,0.22,51.49,756.6,
2002-01-01,0.36,52.28,103.9,
2002-02-01,0.06,51.43,172.8,
2002-03-01,0.09,51.01,514.6,
2002-04-01,0.56,50.95,396.6,
2002-05-01,0.83,52.17,269.3,
2002-06-01,1.54,54.54,569.1,
2002-07-01,1.95,58.79,1105.3,
2002-08-01,2.32,55.91,1501.5,
2002-09-01,2.4,62.45,2410.5,
2002-10-01,3.87,60.4,2088.5,
2002-11-01,5.19,59.85,1160.3,
2002-12-01,3.75,59.93,1711.3,
2003-01-01,2.33,59.97,1059.3,70.53636
2003-02-01,2.28,60.26,1022.7,71.72228
2003-03-01,1.53,58.46,1437.3,71.37508
2003-04-01,0.92,54.44,1616.2,70.86834
2003-05-01,-0.26,54.96,2434.4,70.15872
2003-06-01,-1.0,54.42,2262.3,70.29779
2003-07-01,-0.42,55.11,1964.7,69.44384
2003-08-01,0.38,55.49,2585.1,69.98244
2003-09-01,1.18,54.73,2558.6,71.50541
