date,exp_26_Alemanha_fob,exp_26_Argentina_fob,exp_26_Barein_fob,exp_26_China_fob,exp_26_Coreia do Sul_fob,exp_26_Egito_fob,exp_26_Espanha_fob,exp_26_Filipinas_fob,exp_26_França_fob,exp_26_Itália_fob,exp_26_Japão_fob,exp_26_Malásia_fob,exp_26_Omã_fob,exp_26_Países Baixos (Holanda)_fob,exp_26_Taiwan (Formosa)_fob
2010-01-01,54372209.0,42158480.0,15078412.0,465021065.0,72010272.0,,28875936.0,,36422787.0,17426000.0,134152461.0,27275711.0,123578.0,19846678.0,14244722.0
2010-02-01,140149746.0,32219612.0,23393426.0,517206474.0,25795605.0,29202211.0,34051673.0,1131751.0,26814330.0,22211362.0,155249174.0,17693853.0,,30502245.0,6798603.0
2010-03-01,83140413.0,70255529.0,6930788.0,669100330.0,23674990.0,14164686.0,62999586.0,13094941.0,77255061.0,65477427.0,181166446.0,49111532.0,,17166898.0,21328651.0
2010-04-01,195349808.0,50633271.0,19079131.0,588747918.0,71241520.0,,22138880.0,4768246.0,24778634.0,50366441.0,180076235.0,24813927.0,,68632276.0,39904319.0
2010-05-01,153489004.0,75650095.0,34917040.0,986283703.0,72183357.0,45826598.0,53811518.0,,122247693.0,98643665.0,143804975.0,46612083.0,,53316208.0,17272807.0
2010-06-01,247028978.0,85790726.0,34321037.0,913324344.0,98160024.0,53412628.0,21137522.0,27630126.0,44926080.0,48331229.0,308414726.0,,123578.0,100537212.0,58260471.0
2010-07-01,288160739.0,72041428.0,53289451.0,1106026938.0,100072719.0,52560980.0,59620975.0,47160100.0,61924433.0,133579565.0,300910787.0,58715251.0,,65825194.0,54501591.0
2010-08-01,313901018.0,125321509.0,80208242.0,1726888062.0,169204564.0,61367425.0,54516491.0,52999324.0,62545380.0,83329199.0,446014122.0,,576696.0,45108884.0,75927349.0
2010-09-01,189753461.0,89615533.0,50342952.0,1742412504.0,190692710.0,31799566.0,62964299.0,22380955.0,49132242.0,33745034.0,376622377.0,32760080.0,,34642964.0,37801814.0
2010-10-01,187816066.0,99125865.0,60297006.0,1572979378.0,178106313.0,26707082.0,58799909.0,30980144.0,68316582.0,102684245.0,453461523.0,33207338.0,,44097209.0,116989071.0
2010-11-01,149653275.0,73899436.0,4096136.0,1460887514.0,138929312.0,27562176.0,89803430.0,,19778636.0,39016006.0,301447352.0,4327495.0,4935888.0,61491830.0,37962999.0
2010-12-01,250349753.0,74838407.0,33060204.0,1843213707.0,179336831.0,57950283.0,8149418.0,7599900.0,118070939.0,148979667.0,312310292.0,54660702.0,7258201.0,103605416.0,47595368.0
2011-01-01,85054702.0,66297847.0,40382179.0,1196245847.0,185083565.0,54821293.0,81936862.0,,75242887.0,53514064.0,327718641.0,735552.0,590427.0,67250336.0,66358490.0
2011-02-01,183042038.0,97347590.0,23948071.0,1276669338.0,151419958.0,29769362.0,45872101.0,24214842.0,71520990.0,104257543.0,319102461.0,30781355.0,808596.0,35709407.0,36719831.0
2011-03-01,214892089.0,128241742.0,75374790.0,1326177977.0,110026786.0,11778013.0,24768994.0,4133131.0,69669564.0,201495655.0,321245557.0,64277619.0,1082757.0,139532002.0,62117041.0
2011-04-01,146913007.0,107715114.0,33962318.0,1560285776.0,58233643.0,26754420.0,117149306.0,67492663.0,29682202.0,66330696.0,332175084.0,2072652.0,902902.0,228027377.0,83394665.0
2011-05-01,150186369.0,146197379.0,41866986.0,1617580061.0,81888247.0,90954070.0,61574832.0,4338168.0,124761358.0,153649400.0,305783499.0,36632207.0,,275021706.0,66657421.0
2011-06-01,138073001.0,126194799.0,15809515.0,1779684310.0,235291151.0,16048570.0,41142684.0,52109774.0,85319276.0,226300287.0,233437459.0,884542.0,65657948.0,241340527.0,45517901.0
2011-07-01,180851755.0,122016677.0,60081787.0,1805889463.0,154352376.0,33898285.0,79551012.0,30035145.0,78371721.0,106094043.0,348849166.0,107968099.0,93740356.0,157597070.0,68120286.0
2011-08-01,187825467.0,117404563.0,113080675.0,2143182607.0,175038553.0,78761873.0,94914127.0,38884766.0,104943743.0,150995265.0,380389733.0,77263061.0,137498317.0,287267451.0,78917968.0
2011-09-01,94153694.0,183771415.0,71412182.0,2048929302.0,207525302.0,64889003.0,33673911.0,39067657.0,115868949.0,161424536.0,473317215.0,316053.0,69529014.0,136416376.0,58651688.0
2011-10-01,188451754.0,126610495.0,62092189.0,1673445316.0,326635190.0,31369116.0,22630763.0,,57467386.0,104003646.0,508101186.0,74921506.0,70686127.0,151982560.0,101612816.0
2011-11-01,164705457.0,98847089.0,38225487.0,1811044335.0,195861790.0,22508370.0,34142894.0,73197902.0,86825583.0,185821021.0,360844450.0,29896346.0,154257944.0,184975237.0,64659277.0
2011-12-01,220888452.0,79174691.0,51199826.0,1931460476.0,155953742.0,52429548.0,92563398.0,31131502.0,81351801.0,119086411.0,496420842.0,26388522.0,,131603836.0,41641191.0
2012-01-01,32358302.0,36172585.0,42132985.0,926380669.0,126812665.0,27080139.0,36103242.0,63000900.0,28046859.0,45564400.0,202678316.0,29201512.0,,47931509.0,46552576.0
2012-02-01,145304172.0,59560979.0,8157732.0,1057121858.0,99506275.0,133537.0,68221789.0,,63364111.0,174642677.0,150164850.0,1539814.0,88722540.0,66246091.0,50416429.0
2012-03-01,190209696.0,111541062.0,39078313.0,1312316872.0,109606110.0,51193582.0,60338550.0,101953169.0,47163360.0,10468242.0,251023107.0,59747435.0,60787082.0,126960169.0,92700458.0
2012-04-01,65860069.0,83998735.0,25104179.0,1039402943.0,179432528.0,48515344.0,43770062.0,20283120.0,49697655.0,145775827.0,294674784.0,25241398.0,51802649.0,139329895.0,21196441.0
2012-05-01,127441421.0,92447448.0,39698783.0,1340704814.0,143973274.0,28798321.0,75608286.0,22727121.0,60048092.0,90085718.0,247714522.0,25236954.0,71680409.0,137999545.0,37584024.0
2012-06-01,92831676.0,91629483.0,19949517.0,1252551098.0,90633906.0,51806301.0,40403183.0,75772322.0,42015606.0,98464726.0,263805568.0,79112896.0,139942673.0,188461457.0,89450536.0
2012-07-01,66196243.0,83795273.0,33499766.0,1305873939.0,218382877.0,22966900.0,91248801.0,39241468.0,71998029.0,159908472.0,308746088.0,58256560.0,130802888.0,103162055.0,13473400.0
2012-08-01,102400884.0,83244332.0,33338760.0,1319866773.0,103467923.0,53108019.0,31515930.0,22771056.0,99891693.0,110595152.0,239423566.0,25073253.0,60586991.0,137295967.0,92192334.0
2012-09-01,95603011.0,31975544.0,20297704.0,1234353685.0,155370463.0,22734659.0,,69411830.0,105696026.0,76904473.0,293307587.0,45957653.0,103951583.0,58819546.0,24310828.0
2012-10-01,135197298.0,57917197.0,21874901.0,1381649279.0,133993145.0,16805985.0,58526749.0,49882725.0,72766566.0,64976450.0,200325321.0,45829937.0,89757974.0,149888550.0,10005075.0
2012-11-01,174325533.0,62482740.0,15444356.0,1567894326.0,146270428.0,42872302.0,7545623.0,52446600.0,97400539.0,51090269.0,116250569.0,55882250.0,46885800.0,78678333.0,34650174.0
2012-12-01,51533972.0,28998356.0,9200474.0,1475599855.0,145319771.0,54883552.0,22810694.0,75928455.0,83607387.0,49278275.0,411417897.0,62805506.0,51652335.0,127125719.0,46167309.0
2013-01-01,142614689.0,75196318.0,9990710.0,1193987279.0,57657202.0,41192342.0,21925246.0,,83477421.0,45862901.0,197722633.0,45190282.0,80245484.0,103937023.0,71248412.0
2013-02-01,52057416.0,46799865.0,32316064.0,1008259712.0,183731801.0,,33894065.0,22659222.0,65652089.0,58127743.0,213638035.0,1058369.0,119750201.0,126043571.0,33396318.0
2013-03-01,136666536.0,88178667.0,18911028.0,1263265006.0,115537273.0,45641989.0,30131533.0,23647470.0,84691739.0,107475778.0,28210971.0,58906551.0,106586445.0,132787845.0,95205240.0
2013-04-01,168686610.0,107917115.0,,970080899.0,75993428.0,20480000.0,15020166.0,64541063.0,146271496.0,33257478.0,497432185.0,30472417.0,64732395.0,181589608.0,47006772.0
2013-05-01,157987582.0,111771475.0,18902856.0,1390307728.0,171350592.0,25737609.0,36179371.0,109006459.0,92371506.0,81439444.0,296320480.0,57210721.0,74660670.0,119411137.0,82814504.0
2013-06-01,115731242.0,94016165.0,33394840.0,1317358014.0,200200237.0,45242304.0,20601408.0,52541390.0,71367663.0,143022517.0,138929176.0,26387048.0,33294415.0,174924270.0,59278619.0
2013-07-01,137716302.0,100413854.0,13836928.0,1313703476.0,122085562.0,20481920.0,42711094.0,142932209.0,73740124.0,9910064.0,364193385.0,24225094.0,66716074.0,132657267.0,64911802.0
2013-08-01,108091208.0,82268336.0,,1391441824.0,123760658.0,38597219.0,70573524.0,44764969.0,116848204.0,61118478.0,239999246.0,,60235860.0,190841113.0,16894196.0
2013-09-01,84599496.0,79747674.0,30152352.0,1424764771.0,153590590.0,21539975.0,31780438.0,88828156.0,94215520.0,73811589.0,244254894.0,,103682238.0,91712531.0,77831420.0
2013-10-01,180171943.0,96208866.0,,1817682251.0,133430138.0,42738063.0,37552433.0,30391455.0,77379643.0,90603352.0,184927921.0,27448189.0,110384955.0,202511142.0,74386953.0
2013-11-01,139978784.0,34860453.0,15879108.0,1590129569.0,106862786.0,54603854.0,28657692.0,29610900.0,71047496.0,67836314.0,356321894.0,1399372.0,35310420.0,158401611.0,59303589.0
2013-12-01,299331197.0,49985462.0,,1713112736.0,189755742.0,44716895.0,22138252.0,18983212.0,120913114.0,53791464.0,353562777.0,28151492.0,71278623.0,158581890.0,55284989.0
2014-01-01,,59504142.0,32231882.0,1354982012.0,134916571.0,21381376.0,57123102.0,36762836.0,23821554.0,95776116.0,240860643.0,27813020.0,36907596.0,124462136.0,70497801.0
2014-02-01,120323374.0,42716498.0,15963645.0,1133987140.0,86369249.0,,10485782.0,52443892.0,41657116.0,92592364.0,220468981.0,60815953.0,59204873.0,107516174.0,12663264.0
2014-03-01,100872696.0,38419097.0,33140709.0,1128872764.0,163226721.0,50851133.0,37384946.0,50365612.0,78045391.0,30632329.0,179742422.0,63762592.0,68704621.0,137229314.0,75654009.0
2014-04-01,65996042.0,99208427.0,23566043.0,1021511797.0,87967652.0,51720202.0,35640479.0,80368355.0,44856563.0,60712064.0,232397406.0,29474171.0,28694992.0,114855532.0,34013931.0
2014-05-01,163710738.0,160848111.0,26732958.0,1202372914.0,165375310.0,,37792820.0,18326992.0,67229876.0,66807712.0,221670450.0,76737395.0,59775490.0,123888315.0,33202146.0
2014-06-01,78104273.0,156852644.0,13730623.0,1146482687.0,100489005.0,21742610.0,47501040.0,56057866.0,90917388.0,57617089.0,268476088.0,28190084.0,87061895.0,76549417.0,43590786.0
2014-07-01,102715262.0,108101030.0,25878348.0,1024774538.0,103440847.0,28095492.0,21893258.0,30852874.0,45448239.0,35180145.0,188216697.0,91989570.0,50426825.0,98040977.0,47986698.0
2014-08-01,177144275.0,71015346.0,10479813.0,935830521.0,73709406.0,,28378516.0,36511076.0,40423421.0,40957771.0,207512578.0,47823219.0,70984109.0,79430410.0,30178254.0
2014-09-01,85114259.0,81671481.0,20575864.0,1053886120.0,168947902.0,23526366.0,55677549.0,33092592.0,47555581.0,73149757.0,196373899.0,69623575.0,88651994.0,52961490.0,44846624.0
2014-10-01,120436145.0,78910682.0,19045679.0,845819665.0,95104269.0,23106033.0,40376990.0,,55445854.0,9107101.0,165337708.0,42041808.0,87500599.0,98952609.0,46165724.0
2014-11-01,96026978.0,58117285.0,8326736.0,785921379.0,48602378.0,23980058.0,17202069.0,18683112.0,58869725.0,36861888.0,153013498.0,941863.0,20720089.0,49878132.0,23675349.0
2014-12-01,79034687.0,55140643.0,15745700.0,1074773973.0,135247273.0,26909032.0,20230175.0,43450838.0,60634483.0,31541339.0,197851915.0,21836075.0,33927446.0,57692679.0,70158277.0
2015-01-01,110055755.0,44722046.0,13678020.0,511105916.0,48458875.0,28909359.0,27161920.0,18779719.0,17527521.0,28936837.0,135386145.0,85339684.0,16001962.0,36066384.0,48477414.0
2015-02-01,70962832.0,45148991.0,20355336.0,537790035.0,43147595.0,,31035707.0,7244462.0,30970488.0,14244150.0,128180627.0,85648239.0,46976033.0,88940737.0,31772765.0
2015-03-01,65822891.0,37522834.0,27626477.0,610858783.0,74283881.0,11779447.0,44014334.0,44053102.0,45814868.0,30844237.0,112272972.0,95916462.0,45655433.0,57828964.0,43402934.0
2015-04-01,86897226.0,37449067.0,14799950.0,558388419.0,41844747.0,,8134296.0,26135712.0,10203191.0,3307138.0,78553531.0,58771007.0,47580232.0,121093457.0,35246679.0
2015-05-01,57542799.0,26725907.0,11538084.0,399074003.0,17710922.0,10444903.0,29745460.0,20822879.0,31911153.0,10826143.0,70293563.0,59674641.0,41263232.0,43504012.0,34056148.0
2015-06-01,82267121.0,17994542.0,23304271.0,552789211.0,82980671.0,17426750.0,36983387.0,16134218.0,25860942.0,24013410.0,108483599.0,61846583.0,23228689.0,86003166.0,55382388.0
2015-07-01,70373317.0,26499269.0,31466228.0,671351025.0,35620075.0,,9992720.0,77669889.0,41180219.0,19974331.0,91281595.0,55711087.0,59850889.0,113666023.0,29961924.0
2015-08-01,16918284.0,32889969.0,16451871.0,494084864.0,44837029.0,13236788.0,6454953.0,47568602.0,22881125.0,20907872.0,66787711.0,59258722.0,21188230.0,50346066.0,8354361.0
2015-09-01,23147211.0,33857384.0,20825714.0,691765767.0,73564590.0,8470400.0,6857649.0,62723989.0,16491364.0,19242721.0,126080870.0,41660816.0,20743702.0,36436599.0,27359851.0
2015-10-01,41710832.0,16656098.0,15317697.0,587033522.0,70081485.0,,13499955.0,60735531.0,22967738.0,16132411.0,89709317.0,91418119.0,29696755.0,76425347.0,31995050.0
2015-11-01,51998378.0,15213677.0,,565038636.0,8863085.0,,20257807.0,59650936.0,22999118.0,26209119.0,71199355.0,59535982.0,5274079.0,44465789.0,29984121.0
2015-12-01,54493831.0,62251970.0,,656803149.0,71772935.0,7485693.0,50803167.0,65050702.0,20288976.0,15263091.0,134561594.0,31095856.0,18797015.0,68433656.0,40137770.0
2016-01-01,28379437.0,24060783.0,,333530969.0,20177543.0,24241277.0,19761144.0,,18386847.0,19068381.0,82966059.0,46521952.0,7515857.0,40674019.0,3305548.0
2016-02-01,34456179.0,14234998.0,9101458.0,407571169.0,15235214.0,,21339599.0,7625465.0,7700730.0,15472894.0,57169746.0,62640067.0,5221638.0,57326902.0,29692298.0
2016-03-01,52679556.0,17747782.0,15698121.0,407437491.0,48577249.0,,27836100.0,10752888.0,12179224.0,9825518.0,70543711.0,61918428.0,21221500.0,48664366.0,15358130.0
2016-04-01,53241042.0,20858132.0,,504811917.0,22240785.0,15602922.0,11172360.0,7254241.0,21784398.0,36355055.0,92783908.0,69196930.0,12625068.0,62304034.0,33054785.0
