date,export_26_fob_usd,export_27_fob_usd,export_72_fob_usd,export_84_fob_usd,import_26_fob_usd,import_27_fob_usd,import_72_fob_usd,import_84_fob_usd,export_26_kg,export_27_kg,export_72_kg,export_84_kg,import_26_kg,import_27_kg,import_72_kg,import_84_kg
2010-01-01,1087073060.0,1417207965.0,527222167.0,566357779.0,140744977.0,1776170951.0,279051826.0,1780110213.0,21774145740.0,2892644963.0,830968203.0,70976611.0,165734656.0,4052075056.0,365770654.0,122510918.0
2010-02-01,1313447530.0,1534741714.0,557754147.0,664212950.0,102400227.0,2269248086.0,270225090.0,1827728801.0,23959202434.0,3206430397.0,844187328.0,85253966.0,198990456.0,5019690265.0,347942541.0,121407366.0
2010-03-01,1548746216.0,1736471117.0,644258467.0,933010701.0,87792480.0,2640892469.0,407158658.0,2239783368.0,28371047731.0,3612744248.0,910732635.0,110487126.0,62758788.0,5672917329.0,525768251.0,156194950.0
2010-04-01,1626050353.0,1510020633.0,680312370.0,823591739.0,60215536.0,2964561763.0,365814320.0,1971215242.0,22086999173.0,2948291310.0,1030862712.0,98881099.0,50526457.0,6292089596.0,440665549.0,133495799.0
2010-05-01,2281301697.0,2087884733.0,669074144.0,878370778.0,90264808.0,2451282848.0,362344820.0,2198810276.0,24078530863.0,4011971533.0,946250634.0,108246946.0,73041393.0,5388032827.0,430927111.0,144866288.0
2010-06-01,2532530763.0,1436067860.0,757432563.0,894816511.0,109274491.0,2758535453.0,343082109.0,2303451038.0,25120234678.0,3018057260.0,1021469751.0,111335362.0,55270088.0,5997758813.0,381651101.0,154527369.0
2010-07-01,3009627081.0,976337991.0,655411062.0,938998030.0,122351535.0,2962194742.0,408287358.0,2558288519.0,26694536938.0,2032009068.0,748083585.0,114764821.0,127170197.0,6910051473.0,451973020.0,181394397.0
2010-08-01,3751508777.0,1727640422.0,566659686.0,996225266.0,120987211.0,2693140903.0,495592887.0,2823274818.0,30666623310.0,3712223417.0,679501399.0,122012672.0,170100900.0,5963962260.0,542989559.0,224036889.0
2010-09-01,3465951307.0,1612582836.0,609529454.0,967783614.0,125392160.0,3188029143.0,463161024.0,2975385750.0,28200174120.0,3158271203.0,696294598.0,118193798.0,128005765.0,7147915131.0,489761120.0,257207353.0
2010-10-01,3632070234.0,953339003.0,796987914.0,1003872447.0,147600570.0,2675163377.0,532595923.0,2546839468.0,31711016295.0,1904454297.0,1101436126.0,117081502.0,65065480.0,5777199606.0,602099022.0,176620733.0
2010-11-01,2892078779.0,1544847490.0,885423760.0,992936383.0,111808335.0,2961763755.0,410496406.0,2652678130.0,25375593973.0,3051312935.0,1183428649.0,115739159.0,137722142.0,5885130863.0,408695418.0,193068173.0
2010-12-01,3654295006.0,3306328442.0,1035946044.0,1070288494.0,145502534.0,2213523568.0,383682521.0,2657765256.0,32543059580.0,5939233917.0,1509027290.0,127274076.0,87905629.0,4237557328.0,383661492.0,194587361.0
2011-01-01,2732746180.0,1690707282.0,1074293790.0,825511917.0,173589739.0,2204914638.0,278032226.0,2466193418.0,23689397480.0,2703212496.0,1536850182.0,96893692.0,142450138.0,4729974478.0,257238557.0,185226038.0
2011-02-01,2850671555.0,2035859196.0,906684570.0,987972376.0,91166405.0,2753400353.0,280711676.0,2336430326.0,24128181873.0,3463188640.0,1116774900.0,115025565.0,102903563.0,5283952278.0,250872146.0,173455688.0
2011-03-01,3058080967.0,1628221852.0,1040784983.0,1092420870.0,125004667.0,3312486736.0,271988864.0,2773551450.0,25622506021.0,2669364208.0,1341311853.0,126980233.0,101140486.0,5904396972.0,229432398.0,189291157.0
2011-04-01,3404233962.0,1824575980.0,1017219079.0,1056626633.0,95154082.0,3937267620.0,280645473.0,2519322347.0,25458619405.0,2630100370.0,1157875491.0,117628500.0,131335643.0,6069308666.0,244886322.0,168113187.0
2011-05-01,3728227659.0,3086349172.0,1077755773.0,1184441824.0,169318850.0,4012065426.0,305948198.0,3049410352.0,27282605854.0,4098181739.0,1252874695.0,131645057.0,122883127.0,6195578507.0,253846190.0,194349961.0
2011-06-01,3648831057.0,2421922917.0,1173902389.0,1132579973.0,128607056.0,3833940551.0,349587023.0,2842990319.0,26278055244.0,3287220881.0,1351780585.0,122678286.0,104167357.0,5875230777.0,301188892.0,188923687.0
2011-07-01,3979612635.0,2410649345.0,926520479.0,1111580902.0,95672606.0,3413126484.0,430479653.0,2759812141.0,28135176714.0,3382775147.0,1086958684.0,119124447.0,60133419.0,5655805079.0,380628676.0,174528092.0
2011-08-01,4684404554.0,2887024005.0,1190708353.0,1436952941.0,143183174.0,4213690194.0,400814877.0,3436688555.0,33250551327.0,3972664955.0,1450679666.0,134703401.0,135963870.0,6969186703.0,348801764.0,216728996.0
2011-09-01,4273478784.0,1800800092.0,855462621.0,1279273748.0,50211486.0,4239617011.0,367280433.0,2854218431.0,30997850898.0,2405235826.0,970272405.0,128970571.0,102012051.0,6628370836.0,330600530.0,185197328.0
2011-10-01,4050644160.0,2071911769.0,856459779.0,1185278501.0,105659453.0,4381930502.0,283574819.0,2774329487.0,28199281476.0,3004775991.0,948739725.0,117832398.0,100599163.0,6455299361.0,230774054.0,189773762.0
2011-11-01,3874987475.0,1908722504.0,973668817.0,1189133778.0,175075869.0,4075858063.0,350057221.0,3191746184.0,32584049319.0,2579759674.0,1151198880.0,118795350.0,193788163.0,6209458877.0,331716079.0,223582484.0
2011-12-01,3930598142.0,3024270282.0,917814919.0,1255860754.0,116218444.0,3331530674.0,354238955.0,2709049228.0,35033480619.0,4126253225.0,1097583516.0,126012798.0,99903987.0,5403518396.0,329048412.0,186637872.0
2012-01-01,1978322314.0,1974837913.0,905298730.0,972129885.0,77983679.0,3008486148.0,337865555.0,2740805162.0,18540074942.0,2850910700.0,1124725289.0,102446651.0,43138509.0,5101823413.0,297618808.0,189380819.0
2012-02-01,2386132034.0,2558219881.0,1081321579.0,1080375570.0,92313262.0,2795106347.0,297960533.0,2704438057.0,23352959859.0,3218100840.0,1366458800.0,115210276.0,120279554.0,3949212304.0,272463830.0,178637672.0
2012-03-01,2909882103.0,2657482929.0,860753102.0,1263736330.0,136775325.0,3600097398.0,336753135.0,2935287868.0,28141352777.0,3596461108.0,1061876374.0,129125970.0,175251754.0,4854594000.0,309718050.0,192610382.0
2012-04-01,2753543785.0,2792721170.0,997934553.0,1037783598.0,47457923.0,4751000608.0,308063049.0,2715116700.0,26550626816.0,3638770618.0,1220467561.0,112996667.0,117907041.0,6086563997.0,291935032.0,177929701.0
2012-05-01,2889501483.0,2392439392.0,1078389071.0,1161261070.0,78185021.0,4189060760.0,297061763.0,3540789694.0,27434527895.0,3123647892.0,1279499961.0,119443036.0,79556574.0,6025862026.0,253296368.0,222228086.0
