date,gold,copper,silver,aluminum,nickel,zinc,tin,lead,platinum,iron_ore_62fe,coal_newcastle,steel_hrc_china,uranium
2000-01-03,,,,,8739.0,,,,,,,,
2000-01-04,283.7,0.848,5.375,,,,,,,,,,
2000-01-05,282.1,0.8565,5.21,,,,,,,,,,
2000-01-06,282.4,0.853,5.167,,,,,,,,,,
2000-01-07,282.9,0.854,5.195,,,,,,,,,,
2000-01-10,282.7,0.8465,5.19,,,,,,,,,,
2000-01-11,284.4,0.8435,5.195,,,,,,,,,,
2000-01-12,283.7,0.866,5.143,,,,,,,,,,
2000-01-13,285.1,0.8565,5.153,,,,,,,,,,
2000-01-14,284.9,0.8625,5.15,,,,,,,,,,
2000-01-18,289.6,0.866,5.165,,,,,,,,,,
2000-01-19,290.3,0.8825,5.173,,,,,,,,,,
2000-01-20,289.3,0.873,5.257,,,,,,,,,,
2000-01-21,289.7,0.873,5.26,,,,,,,,,,
2000-01-24,288.1,0.8565,5.293,,,,,,,,,,
2000-01-25,286.6,0.8425,5.315,,,,,,,,,,
2000-01-26,286.5,0.8415,5.283,,,,,,,,,,
2000-01-27,287.1,0.8445,5.415,,,,,,,,,,
2000-01-28,286.0,0.84,5.327,,,,,,,,,,
2000-01-31,286.2,0.8545,5.317,,,,,,,,,,
2000-02-01,285.4,0.848,5.253,,9813.0,,,,,,,,
2000-02-02,287.7,0.8275,5.24,,,,,,,,,,
2000-02-03,289.9,0.8305,5.288,,,,,,,,,,
2000-02-04,313.0,0.8325,5.572,,,,,,,,,,
2000-02-07,304.5,0.8325,5.285,,,,,,,,,,
2000-02-08,301.7,0.8255,5.34,,,,,,,,,,
2000-02-09,308.6,0.8275,5.43,,,,,,,,,,
2000-02-10,318.7,0.8545,5.425,,,,,,,,,,
2000-02-11,313.6,0.85,5.35,,,,,,,,,,
2000-02-14,311.0,0.849,5.27,,,,,,,,,,
2000-02-15,304.1,0.832,5.258,,,,,,,,,,
2000-02-16,305.0,0.833,5.305,,,,,,,,,,
2000-02-17,303.8,0.8415,5.265,,,,,,,,,,
2000-02-18,307.3,0.837,5.283,,,,,,,,,,
2000-02-22,307.7,0.833,5.293,,,,,,,,,,
2000-02-23,302.4,0.845,5.263,,,,,,,,,,
2000-02-24,300.9,0.8405,5.17,,,,,,,,,,
2000-02-25,294.6,0.8215,5.088,,,,,,,,,,
2000-02-28,294.2,0.794,5.11,,,,,,,,,,
2000-02-29,294.2,0.798,5.108,,,,,,,,,,
2000-03-01,293.3,0.803,5.133,,10160.0,,,,,,,,
2000-03-02,289.7,0.797,5.063,,,,,,,,,,
2000-03-03,290.3,0.803,5.153,,,,,,,,,,
2000-03-06,289.4,0.8045,5.105,,,,,,,,,,
2000-03-07,293.7,0.7945,5.12,,,,,,,,,,
2000-03-08,290.4,0.7895,5.125,,,,,,,,,,
2000-03-09,292.7,0.799,5.14,,,,,,,,,,
2000-03-10,290.0,0.7915,5.107,,,,,,,,,,
2000-03-13,291.5,0.79,5.107,,,,,,,,,,
2000-03-14,289.7,0.803,5.132,,,,,,,,,,
2000-03-15,289.6,0.811,5.165,,,,,,,,,,
2000-03-16,287.0,0.8195,5.125,,,,,,,,,,
2000-03-17,285.0,0.8145,5.13,,,,,,,,,,
2000-03-20,286.5,0.8075,5.068,,,,,,,,,,
2000-03-21,290.4,0.8185,5.158,,,,,,,,,,
2000-03-22,288.3,0.817,5.165,,,,,,,,,,
2000-03-23,285.4,0.818,5.123,,,,,,,,,,
2000-03-24,285.1,0.811,5.148,,,,,,,,,,
2000-03-27,280.5,0.8025,5.12,,,,,,,,,,
2000-03-28,279.5,0.804,5.103,,,,,,,,,,
2000-03-29,275.9,0.807,4.98,,,,,,,,,,
2000-03-30,279.1,0.811,4.983,,,,,,,,,,
2000-03-31,281.4,0.8085,5.045,,,,,,,,,,
2000-04-03,280.4,0.8055,5.057,,10070.0,,,,,,,,
2000-04-04,286.6,0.7965,5.165,,,,,,,,,,
2000-04-05,283.8,0.7945,5.137,,,,,,,,,,
2000-04-06,282.7,0.7675,5.132,,,,,,,,,,
2000-04-07,282.5,0.7725,5.122,,,,,,,,,,
2000-04-10,284.0,0.78,5.168,,,,,,,,,,
2000-04-11,283.7,0.7845,5.145,,,,,,,,,,
2000-04-12,283.5,0.782,5.148,,,,,,,,,,
2000-04-13,283.2,0.7745,5.175,,,,,,,,,,
2000-04-14,284.6,0.7585,5.175,,,,,,,,,,
2000-04-17,284.2,0.7485,5.143,,,,,,,,,,
2000-04-18,283.0,0.7695,5.14,,,,,,,,,,
2000-04-19,282.5,0.7745,5.133,,,,,,,,,,
2000-04-20,281.5,0.771,5.0,,,,,,,,,,
2000-04-24,281.2,0.7715,4.953,,,,,,,,,,
2000-04-25,279.8,0.794,5.015,,,,,,,,,,
2000-04-26,277.1,0.788,4.947,,,,,,,,,,
2000-04-27,278.4,0.7965,5.015,,,,,,,,,,
2000-04-28,274.7,0.796,5.015,,,,,,,,,,
2000-05-01,274.8,0.8,5.077,,9090.0,,,,,,,,
