date,pia_mineracao__Custos e despesas - gastos de pessoal - total - 05 Extração de carvão mineral,pia_mineracao__Custos e despesas - gastos de pessoal - total - 06 Extração de petróleo e gás natural,pia_mineracao__Custos e despesas - gastos de pessoal - total - 07 Extração de minerais metálicos,pia_mineracao__Custos e despesas - gastos de pessoal - total - 08 Extração de minerais não-metálicos,pia_mineracao__Custos e despesas - gastos de pessoal - total - 09 Atividades de apoio à extração de minerais,pia_mineracao__Custos e despesas - total - 05 Extração de carvão mineral,pia_mineracao__Custos e despesas - total - 06 Extração de petróleo e gás natural,pia_mineracao__Custos e despesas - total - 07 Extração de minerais metálicos,pia_mineracao__Custos e despesas - total - 08 Extração de minerais não-metálicos,pia_mineracao__Custos e despesas - total - 09 Atividades de apoio à extração de minerais,pia_mineracao__Número de empresas - 05 Extração de carvão mineral,pia_mineracao__Número de empresas - 06 Extração de petróleo e gás natural,pia_mineracao__Número de empresas - 07 Extração de minerais metálicos,pia_mineracao__Número de empresas - 08 Extração de minerais não-metálicos,pia_mineracao__Número de empresas - 09 Atividades de apoio à extração de minerais,pia_mineracao__Pessoal ocupado em 31/12 - 05 Extração de carvão mineral,pia_mineracao__Pessoal ocupado em 31/12 - 06 Extração de petróleo e gás natural,pia_mineracao__Pessoal ocupado em 31/12 - 07 Extração de minerais metálicos,pia_mineracao__Pessoal ocupado em 31/12 - 08 Extração de minerais não-metálicos,pia_mineracao__Pessoal ocupado em 31/12 - 09 Atividades de apoio à extração de minerais,pia_mineracao__Receita - total - 05 Extração de carvão mineral,pia_mineracao__Receita - total - 06 Extração de petróleo e gás natural,pia_mineracao__Receita - total - 07 Extração de minerais metálicos,pia_mineracao__Receita - total - 08 Extração de minerais não-metálicos,pia_mineracao__Receita - total - 09 Atividades de apoio à extração de minerais,paic_construcao__Número de empresas - Total - Total,paic_construcao__Pessoal ocupado em 31/12 - Total - Total,paic_construcao__Receita bruta total - Total - Total,paic_construcao__Valor adicionado - Total - Total
2007-01-01,185462,34733,2403843,1192997,1484529,819850,283191,49287173,5560244,3607472,28,8,116,3128,55,5580,545,47925,69928,19426,833599,360114,76219466,6288816,3784925,34345.0,1520461.0,127556681.0,59849653.0
2008-01-01,224437,51215,2930164,1314053,1925948,1060162,258452,52727266,6084920,5411705,26,8,128,2929,64,6461,542,54577,66198,22581,1062873,351598,74228232,7290164,5445789,38260.0,1699919.0,158194382.0,70729484.0
2009-01-01,225758,88066,3580959,1463691,2616276,902978,1002529,35887140,6461699,7784990,21,14,164,2993,74,5498,440,56878,70403,25945,997762,981914,54894874,7835981,7816761,,1973959.0,195670299.0,90793354.0
2010-01-01,221346,130762,5313476,1730712,3267689,935626,1958772,42854862,7742325,8306874,25,18,149,2920,97,5908,721,61161,73193,28385,1007000,1664119,86013223,9600892,8539052,,2327218.0,253813902.0,112252858.0
2011-01-01,256549,647971,6655640,2176253,4293999,1026858,10982952,62128632,9490046,10624831,21,23,162,3034,109,5493,1965,75151,80412,34808,1077767,12413834,115480020,11638516,10923158,,2517584.0,273652997.0,128785503.0
2012-01-01,292970,1146009,7573448,2465382,5540688,1135935,20337490,77848255,10500510,13218555,19,33,163,3047,116,5493,2895,85081,81105,39219,1178040,19108138,97244164,13092002,13567281,,2706625.0,324155240.0,153306354.0
2013-01-01,333341,1320703,8686370,2854966,6665440,1305549,24363491,104311456,11692767,17396811,19,29,165,3531,119,5778,3196,83316,89664,36989,1366800,24125871,123063769,14653542,15552476,,2773953.0,348902350.0,162389640.0
2014-01-01,402616,1375829,9017212,3056401,7175492,1637781,30238595,78478398,12388526,18958435,19,32,167,3392,123,5756,3342,82261,87757,40835,1654024,26521481,86857349,14946517,17007690,,2687539.0,377378599.0,172395775.0
2015-01-01,409588,1466680,6758581,3179671,7410035,1407766,43657149,143867787,12747372,22698205,14,32,143,3410,126,4749,3010,78750,82852,35405,1444414,25327985,83340823,14584547,18991014,,2259077.0,327768616.0,158848023.0
2016-01-01,379588,1678062,7454427,3186647,5762115,1236245,31875861,80577839,13586747,18271671,12,32,129,3219,120,4208,2945,74746,75434,27295,1211905,33949699,98683638,14684386,13954082,,1824642.0,281583433.0,136530748.0
