date,pib__Série encadeada do índice de volume trimestral (Base: média 1995 = 100) - PIB a preços de mercado,pib_setorial_variacao__Taxa acumulada ao longo do ano (em relação ao mesmo período do ano anterior) - Construção,pib_setorial_variacao__Taxa acumulada ao longo do ano (em relação ao mesmo período do ano anterior) - Indústria - total,pib_setorial_variacao__Taxa acumulada ao longo do ano (em relação ao mesmo período do ano anterior) - Indústrias de transformação,pib_setorial_variacao__Taxa acumulada ao longo do ano (em relação ao mesmo período do ano anterior) - Indústrias extrativas,pib_setorial_variacao__Taxa acumulada ao longo do ano (em relação ao mesmo período do ano anterior) - PIB a preços de mercado,pib_setorial_variacao__Taxa acumulada em quatro trimestres (em relação ao mesmo período do ano anterior) - Construção,pib_setorial_variacao__Taxa acumulada em quatro trimestres (em relação ao mesmo período do ano anterior) - Indústria - total,pib_setorial_variacao__Taxa acumulada em quatro trimestres (em relação ao mesmo período do ano anterior) - Indústrias de transformação,pib_setorial_variacao__Taxa acumulada em quatro trimestres (em relação ao mesmo período do ano anterior) - Indústrias extrativas,pib_setorial_variacao__Taxa acumulada em quatro trimestres (em relação ao mesmo período do ano anterior) - PIB a preços de mercado,pib_setorial_variacao__Taxa trimestral (em relação ao mesmo período do ano anterior) - Construção,pib_setorial_variacao__Taxa trimestral (em relação ao mesmo período do ano anterior) - Indústria - total,pib_setorial_variacao__Taxa trimestral (em relação ao mesmo período do ano anterior) - Indústrias de transformação,pib_setorial_variacao__Taxa trimestral (em relação ao mesmo período do ano anterior) - Indústrias extrativas,pib_setorial_variacao__Taxa trimestral (em relação ao mesmo período do ano anterior) - PIB a preços de mercado,pib_setorial_variacao__Taxa trimestre contra trimestre imediatamente anterior - Construção,pib_setorial_variacao__Taxa trimestre contra trimestre imediatamente anterior - Indústria - total,pib_setorial_variacao__Taxa trimestre contra trimestre imediatamente anterior - Indústrias de transformação,pib_setorial_variacao__Taxa trimestre contra trimestre imediatamente anterior - Indústrias extrativas,pib_setorial_variacao__Taxa trimestre contra trimestre imediatamente anterior - PIB a preços de mercado,pib_setorial_corrente__Valores a preços correntes - Construção,pib_setorial_corrente__Valores a preços correntes - Impostos líquidos sobre produtos,pib_setorial_corrente__Valores a preços correntes - Indústria - total,pib_setorial_corrente__Valores a preços correntes - Indústrias de transformação,pib_setorial_corrente__Valores a preços correntes - Indústrias extrativas,pib_setorial_corrente__Valores a preços correntes - PIB a preços de mercado,pib_setorial_corrente__Valores a preços correntes - Valor adicionado a preços básicos,pib_setorial_encadeado__Valores encadeados a preços de 1995 - Construção,pib_setorial_encadeado__Valores encadeados a preços de 1995 - Indústria - total,pib_setorial_encadeado__Valores encadeados a preços de 1995 - Indústrias de transformação,pib_setorial_encadeado__Valores encadeados a preços de 1995 - Indústrias extrativas,pib_setorial_encadeado__Valores encadeados a preços de 1995 - PIB a preços de mercado,contas_economicas__(+) Cessão de ativos não financeiros não produzidos (aquisições líquidas),contas_economicas__(+) Outras transferências correntes (líquidas recebidas do exterior),contas_economicas__(+) Rendas de propriedade (líquidas recebidas do exterior),contas_economicas__(+) Salários (líquidos recebidos do exterior),contas_economicas__(+) Transferências de capital (líquidas recebidas do exterior),contas_economicas__(-) Despesa de consumo final,contas_economicas__(-) Formação bruta de capital,contas_economicas__(=) Capacidade / necessidade líquida de financiamento,contas_economicas__(=) Poupança bruta,contas_economicas__(=) Renda nacional bruta,contas_economicas__(=) Renda nacional disponível bruta,contas_economicas__Produto Interno Bruto
1996-01-01,96.84,-6.7,-6.0,-7.6,2.2,-0.6,-6.2,-0.6,1.3,2.3,2.5,-6.7,-6.0,-7.6,2.2,-0.6,,,,,,11972,24960,41474,23306,1763,189323,164363,10525.13,38456.73,22989.13,1106.98,170920.0,,,,,,,,,,,,
1996-04-01,100.12,-3.3,-4.5,-6.5,4.4,0.4,-4.4,-2.3,-2.6,6.5,2.1,0.1,-3.0,-5.5,6.8,1.3,-1.0,-3.4,-5.1,-0.1,1.2,13587,26378,45839,26780,1369,204611,178232,10872.62,40401.9,24655.24,1102.1,176708.75,,,,,,,,,,,,
1996-07-01,107.56,0.9,0.8,0.3,3.5,2.2,-0.5,0.5,0.3,5.4,2.3,9.7,11.3,13.7,1.6,5.6,0.8,8.8,15.4,-4.8,3.7,14767,27349,49011,28772,1324,221513,194164,11555.11,46061.39,29570.69,1119.05,189844.26,,,,,,,,,,,,
1996-10-01,104.31,2.2,1.0,0.1,2.4,2.2,2.2,1.0,0.1,2.4,2.2,6.5,1.5,-0.6,-0.3,2.3,-0.1,-6.1,-9.6,4.5,-1.0,15104,28778,54631,32835,1457,239316,210538,11054.1,41759.92,25534.56,1190.73,184112.94,,,,,,,,,,,,
1997-01-01,100.13,3.2,3.3,2.7,-0.9,3.4,4.8,3.3,2.6,1.7,3.2,3.2,3.3,2.7,-0.9,3.4,3.5,5.3,3.5,0.9,1.1,14443,26992,49072,28430,1493,219117,192125,10859.41,39718.82,23619.05,1096.77,176732.25,,,,,,,,,,,,
1997-04-01,104.88,5.0,5.7,6.1,1.4,4.1,6.5,6.1,6.4,1.0,4.0,6.8,8.0,9.2,3.6,4.8,2.5,-0.5,1.3,2.0,0.5,15850,28600,55636,33389,1447,232890,204289,11614.17,43647.68,26918.19,1142.22,185109.48,,,,,,,,,,,,
1997-07-01,109.49,6.4,3.7,2.0,4.7,3.3,6.4,3.1,1.3,3.4,3.0,8.9,0.2,-4.6,11.2,1.8,2.9,2.0,0.5,3.4,1.3,17160,29556,57089,33163,1425,246178,216623,12589.11,46159.96,28202.18,1244.42,193244.9,,,,,,,,,,,,
1997-10-01,108.21,7.6,4.4,2.5,5.0,3.4,7.6,4.4,2.5,5.0,3.4,11.2,6.4,4.1,5.9,3.7,1.8,-0.4,-1.3,-0.5,0.8,17235,30198,53320,28967,1656,253904,223706,12291.25,44445.73,26572.17,1261.3,190996.04,,,,,,,,,,,,
1998-01-01,101.14,6.2,0.1,-4.2,7.7,1.0,8.3,3.6,0.9,7.1,2.8,6.2,0.1,-4.2,7.7,1.0,-1.3,-2.1,-4.2,1.2,-2.0,16730,29259,52455,28092,1383,235701,206441,11530.07,39744.85,22615.58,1181.11,178512.96,,,,,,,,,,,,
1998-04-01,106.46,5.5,-0.1,-3.9,6.3,1.3,7.8,1.6,-2.2,7.4,2.0,4.8,-0.3,-3.5,5.0,1.5,1.2,1.1,1.6,2.4,1.7,17952,30797,58383,33171,1122,251936,221139,12173.07,43524.84,25971.84,1199.15,187904.0,,,,,,,,,,,,
1998-07-01,109.88,3.5,-1.0,-4.2,4.7,0.9,5.4,0.8,-2.2,5.0,1.6,0.0,-2.7,-4.8,1.8,0.4,-1.5,-1.2,-1.0,-1.3,0.0,17973,30027,58112,32582,1354,258043,228016,12591.56,44909.8,26836.13,1266.67,193932.08,,,,,,,,,,,,
